vertex count,edge count,wing count,junction count,supply count,exit count,supply cap,budget used,budget,budget percent,value collected,value total,seed,op count
200,396,2,2,50,2,5,2440,2902,35,90,158,141,276806
200,396,2,2,50,2,5,4227,4975,60,117,158,141,388798
300,594,3,4,50,2,5,6294,7720,35,85,161,142,495577
300,594,3,4,50,2,5,10354,13234,60,118,161,142,689166
400,792,4,6,50,2,5,6277,7307,35,80,134,143,470132
400,792,4,6,50,2,5,10565,12527,60,104,134,143,622372
200,396,2,2,50,2,5,1989,2289,35,83,153,144,278682
200,396,2,2,50,2,5,3324,3924,60,111,153,144,337672
300,594,3,4,50,2,5,1644,1986,35,79,154,145,262076
300,594,3,4,50,2,5,2839,3404,60,108,154,145,345405
400,792,4,6,50,2,5,5131,5942,35,88,147,146,469123
400,792,4,6,50,2,5,8499,10186,60,113,147,146,577988
200,396,2,2,50,2,5,2739,3254,35,71,142,147,354360
200,396,2,2,50,2,5,4650,5579,60,99,142,147,468142
300,594,3,4,50,2,5,2943,3350,35,85,153,148,367622
300,594,3,4,50,2,5,4749,5743,60,111,153,148,459848
400,792,4,6,50,2,5,7833,9561,35,89,160,149,544199
400,792,4,6,50,2,5,13435,16390,60,118,160,149,749942
200,396,2,2,50,2,5,2867,3385,35,80,135,150,303530
200,396,2,2,50,2,5,4856,5803,60,105,135,150,410944
300,594,3,4,50,2,5,4315,4987,35,103,159,151,458653
300,594,3,4,50,2,5,7144,8549,60,127,159,151,552662
400,792,4,6,50,2,5,4771,5313,35,88,142,152,454841
400,792,4,6,50,2,5,7927,9108,60,112,142,152,581705
200,396,2,2,50,2,5,2761,3299,35,94,154,153,330954
200,396,2,2,50,2,5,4876,5656,60,123,154,153,442048
300,594,3,4,50,2,5,3086,3564,35,79,151,154,361911
300,594,3,4,50,2,5,5482,6110,60,105,151,154,512740
400,792,4,6,50,2,5,5604,6793,35,70,122,155,490244
400,792,4,6,50,2,5,9624,11645,60,90,122,155,690582
200,396,2,2,50,2,5,2945,3398,35,78,152,156,341376
200,396,2,2,50,2,5,5019,5825,60,109,152,156,484213
300,594,3,4,50,2,5,3655,4689,35,93,149,157,425055
300,594,3,4,50,2,5,6674,8038,60,111,149,157,595437
400,792,4,6,50,2,5,7555,8995,35,84,137,158,657102
400,792,4,6,50,2,5,12618,15420,60,106,137,158,942635
200,396,2,2,50,2,5,2677,3164,35,95,163,159,323892
200,396,2,2,50,2,5,4801,5425,60,128,163,159,469684
300,594,3,4,50,2,5,2653,3139,35,88,146,160,348156
300,594,3,4,50,2,5,4411,5381,60,112,146,160,444362
400,792,4,6,50,2,5,5438,6701,35,100,164,161,574349
400,792,4,6,50,2,5,9249,11487,60,127,164,161,756666
200,396,2,2,50,2,5,1838,2078,35,81,145,162,248419
200,396,2,2,50,2,5,3110,3563,60,104,145,162,326890
300,594,3,4,50,2,5,3953,4566,35,100,153,163,397009
300,594,3,4,50,2,5,6525,7828,60,123,153,163,530842
400,792,4,6,50,2,5,3583,4144,35,90,143,164,386636
400,792,4,6,50,2,5,5984,7105,60,114,143,164,539812
200,396,2,2,50,2,5,2650,3148,35,87,151,165,338355
200,396,2,2,50,2,5,4311,5397,60,113,151,165,450064
300,594,3,4,50,2,5,3992,4830,35,109,164,166,471735
300,594,3,4,50,2,5,6713,8279,60,130,164,166,608102
400,792,4,6,50,2,5,5993,7024,35,82,136,167,552288
400,792,4,6,50,2,5,10227,12041,60,104,136,167,752792
200,396,2,2,50,2,5,2675,3019,35,87,146,168,344675
200,396,2,2,50,2,5,4705,5176,60,112,146,168,470752
300,594,3,4,50,2,5,4117,5262,35,92,154,169,426285
300,594,3,4,50,2,5,7420,9020,60,118,154,169,630252
400,792,4,6,50,2,5,7764,9409,35,87,150,170,620027
400,792,4,6,50,2,5,13195,16130,60,112,150,170,875344
200,396,2,2,50,2,5,2724,3374,35,89,154,171,341365
200,396,2,2,50,2,5,4888,5784,60,117,154,171,502300
300,594,3,4,50,2,5,4153,4765,35,94,141,172,431744
300,594,3,4,50,2,5,6896,8169,60,115,141,172,567537
400,792,4,6,50,2,5,2849,3407,35,89,148,173,338951
400,792,4,6,50,2,5,4985,5840,60,113,148,173,429094
200,396,2,2,50,2,5,2025,2362,35,92,170,174,260908
200,396,2,2,50,2,5,3569,4049,60,124,170,174,387002
300,594,3,4,50,2,5,3389,4379,35,86,149,175,409098
300,594,3,4,50,2,5,6166,7506,60,113,149,175,640952
400,792,4,6,50,2,5,7129,8665,35,82,165,176,567644
400,792,4,6,50,2,5,12395,14855,60,117,165,176,837636
200,396,2,2,50,2,5,3086,3669,35,95,146,177,371250
200,396,2,2,50,2,5,5210,6290,60,115,146,177,492394
300,594,3,4,50,2,5,2688,3266,35,80,154,178,354954
300,594,3,4,50,2,5,4797,5599,60,111,154,178,522180
400,792,4,6,50,2,5,6978,8548,35,84,142,179,567092
400,792,4,6,50,2,5,11988,14653,60,110,142,179,784009
200,396,2,2,50,2,5,3229,3871,35,103,155,180,346901
200,396,2,2,50,2,5,5504,6636,60,125,155,180,476684
300,594,3,4,50,2,5,4290,5091,35,89,155,181,419674
300,594,3,4,50,2,5,7152,8728,60,117,155,181,566599
400,792,4,6,50,2,5,3768,4269,35,92,156,182,385021
400,792,4,6,50,2,5,6193,7318,60,120,156,182,478198
200,396,2,2,50,2,5,2519,3037,35,86,146,183,297629
200,396,2,2,50,2,5,4485,5206,60,111,146,183,417872
300,594,3,4,50,2,5,3101,3614,35,80,142,184,352024
300,594,3,4,50,2,5,5150,6195,60,108,142,184,491418
400,792,4,6,50,2,5,4658,5454,35,102,157,185,501626
400,792,4,6,50,2,5,7753,9350,60,125,157,185,626982
200,396,2,2,50,2,5,3131,3606,35,82,141,186,353398
200,396,2,2,50,2,5,5194,6182,60,108,141,186,481418
300,594,3,4,50,2,5,3938,4521,35,82,148,187,371308
300,594,3,4,50,2,5,6311,7750,60,106,148,187,457355
400,792,4,6,50,2,5,5226,6280,35,84,152,188,510149
400,792,4,6,50,2,5,8973,10766,60,112,152,188,637167
200,396,2,2,50,2,5,2316,2739,35,89,152,189,282530
200,396,2,2,50,2,5,3926,4696,60,117,152,189,364503
300,594,3,4,50,2,5,2395,2685,35,79,132,190,289046
300,594,3,4,50,2,5,3945,4603,60,103,132,190,394070
400,792,4,6,50,2,5,6176,7133,35,93,162,191,481231
400,792,4,6,50,2,5,10314,12229,60,121,162,191,636867
200,396,2,2,50,2,5,3495,3966,35,96,157,192,382075
200,396,2,2,50,2,5,5454,6799,60,123,157,192,479066
300,594,3,4,50,2,5,5033,5987,35,76,163,193,498411
300,594,3,4,50,2,5,8829,10263,60,107,163,193,682937
400,792,4,6,50,2,5,3785,4231,35,87,153,194,409225
400,792,4,6,50,2,5,6251,7253,60,115,153,194,513495
200,396,2,2,50,2,5,2819,3185,35,84,153,195,353737
200,396,2,2,50,2,5,4755,5460,60,113,153,195,469209
300,594,3,4,50,2,5,3171,3844,35,86,144,196,359914
300,594,3,4,50,2,5,5414,6590,60,109,144,196,460972
400,792,4,6,50,2,5,7122,8533,35,80,157,197,544561
400,792,4,6,50,2,5,12034,14627,60,109,157,197,769781
200,396,2,2,50,2,5,2196,2579,35,74,136,198,265257
200,396,2,2,50,2,5,3701,4421,60,100,136,198,358784
300,594,3,4,50,2,5,1942,2306,35,73,160,199,284870
300,594,3,4,50,2,5,3288,3953,60,104,160,199,375423
400,792,4,6,50,2,5,6730,7768,35,100,159,200,554796
400,792,4,6,50,2,5,10881,13317,60,125,159,200,737677
200,396,2,2,50,2,5,1862,2277,35,79,150,201,253976
200,396,2,2,50,2,5,3339,3904,60,111,150,201,335967
300,594,3,4,50,2,5,2646,3258,35,85,148,202,331730
300,594,3,4,50,2,5,4436,5585,60,110,148,202,419644
400,792,4,6,50,2,5,6477,7391,35,98,154,203,561685
400,792,4,6,50,2,5,10806,12671,60,123,154,203,749209
200,396,2,2,50,2,5,2822,3294,35,84,149,204,343362
200,396,2,2,50,2,5,4836,5647,60,113,149,204,462666
300,594,3,4,50,2,5,2825,3389,35,96,155,205,411241
